00023480-0342386   6.450500E-01 -3.710720E+00  6445 6 T1  2.242561E+01 3.986285E+01 1.0982E+01 1.842101529370E+02 1.692016332486E+03 4.753589964440E+04 1.816533107950E+03 3.340651945309E+03  2.643081473771E+04  5.655447751812E+03  2.662464960361E+04  6.439166434486E+03  1.980714835174E+03 6.456475706747E+02 8.473168629586E+02 9.497808246833E+02 8.365519692166E+02 7.707857941964E+02 4.184976108846E+02 0.000000000000E+00
00024862-0336216   7.026900E-01 -3.606020E+00  6232 6 T1  1.660955E+01 2.690833E+01 1.1705E+01 1.248150385020E+00 1.035500473510E+03 2.596086738784E+04 1.729840588760E+03 1.820197145517E+04  9.878559742255E+04  9.548681621257E+03  4.467632855849E+04  2.191984440440E+04  3.038644631267E+03 8.615421845227E+02 1.172966217038E+03 9.585618501317E+02 9.522111879953E+02 9.531272880813E+02 7.205811287606E+02 0.000000000000E+00
00025446-3414084   7.269400E-01 -3.423565E+01  6803 6 T1  2.788235E+01 3.155352E+01 1.0876E+01 1.362733119720E+00 4.382744556817E+03 3.227624902395E+04 3.619195873447E+03 5.220734552196E+04  4.146773821908E+04  2.666336218666E+03  2.073052013603E+04  2.714349443140E+02  0.000000000000E+00 1.228958887968E+03 1.308279585473E+03 5.405087920030E+02 1.303825631976E+03 4.357113065535E+02 2.213941459575E+03 0.000000000000E+00
00033214-1044403   8.838900E-01 -1.074460E+01  8865 S T1  4.585804E+01 5.983042E+01 1.0496E+01 1.260269302380E+00 2.001710066264E+03 3.878983919016E+02 3.860052957674E+01 9.688932862122E+01  2.536116375961E+02  1.284591490380E+02  6.633979921045E+02  2.390804557070E+02  1.551901328168E+02 1.242017600459E+01 1.493794252949E+01 1.409876312039E+01 1.963069160916E+01 1.645782108002E+01 1.559665993593E+01 0.000000000000E+00
00045971-3030207   1.248840E+00 -3.050574E+01  8134 6 T1  2.784846E+01 4.251472E+01 1.1215E+01 1.663889066430E+00 2.203502174310E+03 1.449161432157E+04 2.367452509068E+03 4.907759668071E+03  1.054625599416E+04  5.149027094508E+02  1.228587039058E+04  0.000000000000E+00  0.000000000000E+00 1.145148652153E+03 1.119913043012E+03 3.558275941610E+02 1.309927758387E+03 8.605696730892E+04 8.605696730892E+04 0.000000000000E+00
00053129-3035116   1.380320E+00 -3.058657E+01  8548 6 T1  2.836394E+01 4.343266E+01 1.1560E+01 1.557747419580E+00 1.532354594069E+03 1.071457082423E+04 1.200355949703E+03 8.596667797423E+03  5.081468270053E+03  9.991752973141E+02  7.147195506897E+03  0.000000000000E+00  4.539375207225E+01 1.140549793811E+03 1.002400260049E+03 5.933439903237E+02 1.392036138280E+03 6.816281354026E+04 3.998955429346E+02 0.000000000000E+00
00054271-7542251   1.427790E+00 -7.570699E+01  6028 6 T1  1.547652E+01 2.151336E+01 1.1054E+01 9.502527387100E-01 2.405452843099E+03 3.010175006878E+04 3.123439184901E+03 6.151536463882E+03  4.042028225007E+04  6.175679893013E+03  2.475984045707E+04  8.463845041937E+03  3.509347510307E+03 8.657356558417E+02 1.294286911047E+03 9.456833464860E+02 1.354961029469E+03 1.079849701002E+03 1.035772766298E+03 0.000000000000E+00
00055932-6420118   1.497300E+00 -6.433662E+01 17204 6 T1  2.447421E+01 2.927547E+01 1.1506E+01 1.376961838720E+00 1.723027596800E+03 1.490154782002E+04 3.196064044700E+03 7.877546717078E+03  0.000000000000E+00  5.892706198100E+03  1.586354010023E+04  8.159565664659E+03  8.172136809953E+03 3.371568758147E+03 6.956527937490E+02 1.266077577113E+03 2.206006449530E+03 1.482739084497E+03 1.334931963962E+03 0.000000000000E+00
00062279-6905209   1.595100E+00 -6.908918E+01 18164 6 T1  2.389515E+01 2.804222E+01 1.1532E+01 6.082439570360E-01 1.071309871161E+03 3.835816955136E+03 9.801750885412E+02 4.083696589701E+03  4.514127004235E+02  9.045021568297E+02  0.000000000000E+00  1.561176352597E+03  2.010485637796E+03 9.162217506100E+02 3.797372743721E+02 4.635703610665E+02 2.742393804949E+05 5.861477477867E+02 5.940220607401E+02 0.000000000000E+00
00070671-4121202   1.778060E+00 -4.135562E+01 13916 6 T1  2.687564E+01 3.204152E+01 1.0717E+01 1.154679507340E+00 1.923076227583E+03 5.342502518815E+04 1.927668350160E+03 7.500682992531E+03  3.088604126233E+04  1.875029468965E+04  4.994604192917E+04  1.671929745962E+04  1.084983017959E+04 5.565450658951E+02 9.713998933475E+02 8.063925814899E+02 1.053570720459E+03 8.421010715017E+02 7.056756933998E+02 0.000000000000E+00
